note(canal, nota, intensidade), tick
note_on(3, 62, 100.0), 7728
note_off(3, 62, 64), 7776
note_on(3, 74, 100.0), 7776
note_off(3, 74, 64), 7824
note_on(3, 74, 100.0), 7824
note_off(3, 74, 64), 7872
note_on(3, 62, 100.0), 7872
note_off(3, 62, 64), 7920
note_on(3, 62, 100.0), 7920
note_off(3, 62, 64), 7968
note_on(3, 74, 100.0), 7968
note_off(3, 74, 64), 8016
note_on(3, 74, 100.0), 8016
note_off(3, 74, 64), 8064
note_on(3, 62, 100.0), 8064
note_off(3, 62, 64), 8112
note_on(3, 62, 100.0), 8112
note_off(3, 62, 64), 8160
note_on(3, 74, 100.0), 8160
note_off(3, 74, 64), 8208
note_on(3, 74, 100.0), 8208
note_off(3, 74, 64), 8256
note_on(3, 62, 100.0), 8256
note_off(3, 62, 64), 8304
note_on(3, 62, 100.0), 8304
note_off(3, 62, 64), 8352
note_on(3, 74, 100.0), 8352
note_off(3, 74, 64), 8400
note_on(3, 74, 100.0), 8400
note_off(3, 74, 64), 8448
note_on(3, 62, 100.0), 8448
note_off(3, 62, 64), 8496
note_on(3, 62, 100.0), 8496
note_off(3, 62, 64), 8544
note_on(3, 74, 100.0), 8544
note_off(3, 74, 64), 8592
note_on(3, 74, 100.0), 8592
note_off(3, 74, 64), 8640
note_on(3, 62, 100.0), 8640
note_off(3, 62, 64), 8688
note_on(3, 62, 100.0), 8688
note_off(3, 62, 64), 8736
note_on(3, 74, 100.0), 8736
note_off(3, 74, 64), 8784
note_on(3, 74, 100.0), 8784
note_off(3, 74, 64), 8832
note_on(3, 62, 100.0), 8832
note_off(3, 62, 64), 8880
note_on(3, 62, 100.0), 8880
note_off(3, 62, 64), 8928
note_on(3, 74, 100.0), 8928
note_off(3, 74, 64), 8976
note_on(3, 74, 100.0), 8976
note_off(3, 74, 64), 9024
note_on(3, 62, 100.0), 9024
note_off(3, 62, 64), 9072
note_on(3, 62, 100.0), 9072
note_off(3, 62, 64), 9120
note_on(3, 74, 100.0), 9120
note_off(3, 74, 64), 9168
note_on(3, 74, 100.0), 9168
note_off(3, 74, 64), 9216
note_on(3, 62, 100.0), 15360
note_off(3, 62, 64), 15408
note_on(3, 62, 100.0), 15408
note_off(3, 62, 64), 15456
note_on(3, 74, 100.0), 15456
note_off(3, 74, 64), 15504
note_on(3, 74, 100.0), 15504
note_off(3, 74, 64), 15552
note_on(3, 62, 100.0), 15552
note_off(3, 62, 64), 15600
note_on(3, 62, 100.0), 15600
note_off(3, 62, 64), 15648
note_on(3, 74, 100.0), 15648
note_off(3, 74, 64), 15696
note_on(3, 74, 100.0), 15696
note_off(3, 74, 64), 15744
note_on(3, 62, 100.0), 15744
note_off(3, 62, 64), 15792
note_on(3, 62, 100.0), 15792
note_off(3, 62, 64), 15840
note_on(3, 74, 100.0), 15840
note_off(3, 74, 64), 15888
note_on(3, 74, 100.0), 15888
note_off(3, 74, 64), 15936
note_on(3, 62, 100.0), 15936
note_off(3, 62, 64), 15984
note_on(3, 62, 100.0), 15984
note_off(3, 62, 64), 16032
note_on(3, 74, 100.0), 16032
note_off(3, 74, 64), 16080
note_on(3, 74, 100.0), 16080
note_off(3, 74, 64), 16128
note_on(3, 62, 100.0), 16128
note_off(3, 62, 64), 16176
note_on(3, 62, 100.0), 16176
note_off(3, 62, 64), 16224
note_on(3, 74, 100.0), 16224
note_off(3, 74, 64), 16272
note_on(3, 74, 100.0), 16272
note_off(3, 74, 64), 16320
note_on(3, 62, 100.0), 16320
note_off(3, 62, 64), 16368
note_on(3, 62, 100.0), 16368
note_off(3, 62, 64), 16416
note_on(3, 74, 100.0), 16416
note_off(3, 74, 64), 16464
note_on(3, 74, 100.0), 16464
note_off(3, 74, 64), 16512
note_on(3, 62, 100.0), 16512
note_off(3, 62, 64), 16560
note_on(3, 62, 100.0), 16560
note_off(3, 62, 64), 16608
note_on(3, 74, 100.0), 16608
note_off(3, 74, 64), 16656
note_on(3, 74, 100.0), 16656
note_off(3, 74, 64), 16704
note_on(3, 62, 100.0), 16704
note_off(3, 62, 64), 16752
note_on(3, 62, 100.0), 16752
note_off(3, 62, 64), 16800
note_on(3, 74, 100.0), 16800
note_off(3, 74, 64), 16848
note_on(3, 74, 100.0), 16848
note_off(3, 74, 64), 16896
note_on(3, 62, 100.0), 16896
note_off(3, 62, 64), 16944
note_on(3, 62, 100.0), 16944
note_off(3, 62, 64), 16992
note_on(3, 74, 100.0), 16992
note_off(3, 74, 64), 17040
note_on(3, 74, 100.0), 17040
note_off(3, 74, 64), 17088
note_on(3, 62, 100.0), 17088
note_off(3, 62, 64), 17136
note_on(3, 62, 100.0), 17136
note_off(3, 62, 64), 17184
note_on(3, 74, 100.0), 17184
note_off(3, 74, 64), 17232
note_on(3, 74, 100.0), 17232
note_off(3, 74, 64), 17280
note_on(3, 62, 100.0), 17280
note_off(3, 62, 64), 17328
note_on(3, 62, 100.0), 17328
note_off(3, 62, 64), 17376
note_on(3, 74, 100.0), 17376
note_off(3, 74, 64), 17424
note_on(3, 74, 100.0), 17424
note_off(3, 74, 64), 17472
note_on(3, 62, 100.0), 17472
note_off(3, 62, 64), 17520
note_on(3, 62, 100.0), 17520
note_off(3, 62, 64), 17568
note_on(3, 74, 100.0), 17568
note_off(3, 74, 64), 17616
note_on(3, 74, 100.0), 17616
note_off(3, 74, 64), 17664
note_on(3, 62, 100.0), 17664
note_off(3, 62, 64), 17712
note_on(3, 62, 100.0), 17712
note_off(3, 62, 64), 17760
note_on(3, 74, 100.0), 17760
note_off(3, 74, 64), 17808
note_on(3, 74, 100.0), 17808
note_off(3, 74, 64), 17856
note_on(3, 62, 100.0), 17856
note_off(3, 62, 64), 17904
note_on(3, 62, 100.0), 17904
